#{"t_start": 1703086369.7527943, "env_id": "CartPole-v1"}
r,l,t
24.0,24,0.624125
19.0,19,0.672931
18.0,18,0.707769
30.0,30,0.766981
11.0,11,0.822307
25.0,25,0.873081
14.0,14,0.900792
13.0,13,0.92401
19.0,19,0.959013
17.0,17,0.98978
33.0,33,1.057235
19.0,19,1.112775
18.0,18,1.161021
18.0,18,1.194398
21.0,21,1.235771
13.0,13,1.261888
9.0,9,1.27768
17.0,17,1.308868
12.0,12,1.329846
14.0,14,1.366636
12.0,12,1.393962
10.0,10,1.414776
30.0,30,1.483833
14.0,14,1.515934
14.0,14,1.545658
24.0,24,1.595949
27.0,27,1.65387
23.0,23,1.70189
56.0,56,1.827787
27.0,27,1.882552
21.0,21,1.941732
18.0,18,1.981115
15.0,15,2.011603
49.0,49,2.105617
30.0,30,2.161739
16.0,16,2.196285
11.0,11,2.21777
17.0,17,2.252533
18.0,18,2.287547
16.0,16,2.318856
22.0,22,2.362925
35.0,35,2.434933
12.0,12,2.459212
33.0,33,2.542073
11.0,11,2.565881
31.0,31,2.629946
31.0,31,2.684408
18.0,18,2.717945
12.0,12,2.743667
24.0,24,2.790779
55.0,55,2.895907
16.0,16,2.924397
14.0,14,2.948904
15.0,15,2.982414
24.0,24,3.033879
25.0,25,3.088344
32.0,32,3.152807
13.0,13,3.177853
27.0,27,3.228144
14.0,14,3.253838
23.0,23,3.2967
20.0,20,3.334699
15.0,15,3.361877
11.0,11,3.382369
30.0,30,3.437319
14.0,14,3.463289
22.0,22,3.504058
15.0,15,3.532993
11.0,11,3.553829
12.0,12,3.574006
15.0,15,3.602043
29.0,29,3.652674
31.0,31,3.704603
75.0,75,3.835983
28.0,28,3.886079
11.0,11,3.906005
32.0,32,3.961025
9.0,9,3.974605
44.0,44,4.051288
16.0,16,4.077919
12.0,12,4.097729
14.0,14,4.124088
16.0,16,4.162138
17.0,17,4.19198
23.0,23,4.233717
13.0,13,4.263813
24.0,24,4.306813
22.0,22,4.347023
20.0,20,4.381652
18.0,18,4.413981
12.0,12,4.435761
26.0,26,4.490974
10.0,10,4.512695
22.0,22,4.56375
17.0,17,4.596771
15.0,15,4.625023
14.0,14,4.653016
40.0,40,6.836549
27.0,27,6.88984
19.0,19,6.925767
22.0,22,6.970411
32.0,32,7.035762
15.0,15,7.066888
26.0,26,7.121222
39.0,39,7.229379
20.0,20,7.274081
54.0,54,7.404969
21.0,21,7.452054
38.0,38,7.541791
33.0,33,7.620018
25.0,25,7.673004
46.0,46,7.771272
32.0,32,7.839221
24.0,24,7.886052
19.0,19,7.927019
12.0,12,7.954009
54.0,54,8.056834
18.0,18,8.090187
31.0,31,8.147876
38.0,38,8.21812
39.0,39,8.292206
51.0,51,8.38619
10.0,10,8.40403
13.0,13,8.429318
16.0,16,8.461309
17.0,17,8.491275
37.0,37,8.567759
12.0,12,8.589874
64.0,64,8.714809
16.0,16,8.747844
103.0,103,8.944172
15.0,15,8.975015
27.0,27,9.030569
34.0,34,9.11067
14.0,14,9.144151
22.0,22,9.19021
11.0,11,9.211897
22.0,22,9.257109
31.0,31,9.319859
15.0,15,9.351895
25.0,25,9.403127
36.0,36,9.529733
46.0,46,9.689101
43.0,43,9.783683
65.0,65,9.92183
19.0,19,9.959996
34.0,34,10.025713
19.0,19,10.065894
58.0,58,10.174719
78.0,78,10.327995
12.0,12,10.350883
28.0,28,10.404532
